episode,character,line
The Time Traveler's Pig,Mabel,Where are we? The 70s?
The Time Traveler's Pig,Dipper,"You sent us back 150 years, genius, it's pioneer times!"
The Time Traveler's Pig,Grady,"ByTrembley!Fertilia, it seems you've given birth to two more children!"
The Time Traveler's Pig,Fertilia,It appears I have. More little hands to render the tallow.
The Time Traveler's Pig,Mabel,Tallow? What?
The Time Traveler's Pig,Boy,"Her mouth is filled with silver, mother!"
The Time Traveler's Pig,Mabel,These are called braces.
The Time Traveler's Pig,Dipper,"Mabel, we can't start messing with the past!"
The Time Traveler's Pig,Mabel,"Oh, says the guy who messed with the past all day and cost me my pig?(holds up calculator)I'll mess with whatever I want!(to boy:)Check it out! A magic button machine!(gives it to him)Shoes that blink!(stomps on the floor and her shoes light up)"
The Time Traveler's Pig,Meccs,Ooooooooohhhhhh!
The Time Traveler's Pig,Dipper,(takes calculator from boy)
The Time Traveler's Pig,Mabel,"(to Fertilia:)Hey, sister! Guess who gets to vote in the future! Ladies!! Up top!(high fives her)That's called a high five! Teach it to your friends!"
The Time Traveler's Pig,Dipper,(takes time machine from her)Give me that! I'm gonna set the timeline right!(pulls tape and he and Mabel disappear. They appear in front of a large carnivorous dinosaur)
The Time Traveler's Pig,Dipper and Mabel,AAAAAAAAAAAAAAAAA!!!!
The Time Traveler's Pig,Dipper,(frantically presses buttons on the time machine and they disappear)
The Time Traveler's Pig,Dinosaur,(tries to eat them but misses)
The Time Traveler's Pig,Dipper and Mabel,(appear in the future. Everything is in ruins and there are two moons)
The Time Traveler's Pig,Freedom Fighter 1,Run! Run!
The Time Traveler's Pig,Freedom Fighter 2,IT'S COMING!
The Time Traveler's Pig,Time Baby,(floats over and destroys a building with laser eyes)HAHAHAHAHAHA!!
The Time Traveler's Pig,Mabel,This future seems neat!
The Time Traveler's Pig,Dipper,"(takes time machine and presses buttons frantically. They appear at theGravity Falls Lake, at the opening day of fishing season)"
The Time Traveler's Pig,Mabel,"I'M COMING, WADDLES!!(Runs off)"
The Time Traveler's Pig,Dipper,Hey!(runs after her and drops the calculator)
The Time Traveler's Pig,Old Man McGucket,I SEEN IT! I SEEN IT AGAIN!!
The Time Traveler's Pig,Narration,Now they are at the unveiling ofWax Stan
The Time Traveler's Pig,Stan,"But enough about me, behold: ME!"
The Time Traveler's Pig,Dipper,(trips over wire and loses his shoe)
The Time Traveler's Pig,Narration,"They run across the yard of the Mystery Shack while thegnomesare cornering thegolf cart. Mabel's flower pin flies out of her hair. They appear again in the same spot years ago, but this time it is snowing)"
The Time Traveler's Pig,Mabel,This thing is getting hotter!(tosses it from hand to hand)HOT! HOTHOTHOT!
The Time Traveler's Pig,Dipper,WHAT DID YOU DO?!
The Time Traveler's Pig,Mabel,I DON'T KNOW!!!
The Time Traveler's Pig,Narration,"Mabel and Dipper disappear. After they are gone,Ford Pinesopens the shack door and closes it after checking. Dipper and Mabel appear in a complete darkness."
The Time Traveler's Pig,Mabel,Where are we?
The Time Traveler's Pig,Dipper,"There's nothing but inky blackness for miles! Mabel, don't you see? We've transported to the end of time!!!"
The Time Traveler's Pig,Mabel,AAAGH!
The Time Traveler's Pig,Dipper,AAAAAAAAAAAAAAGH!
The Time Traveler's Pig,Mabel,AAAGH!
The Time Traveler's Pig,Dipper,AAAAAAAAAAAAAGH!
The Time Traveler's Pig,Mabel,"AAAGH! Wait, why does it smell so bad in here?(finds a door and opens it. They are in the portable toilet at the Mystery Fair)Look, we're back in the present!"
The Time Traveler's Pig,Dipper,But which present?
The Time Traveler's Pig,Wendy,(with the panda-duck)This is the best present ever!
The Time Traveler's Pig,Dipper,Yes!
The Time Traveler's Pig,15-Poundy,(Trying to get away from Pacifica)SQUUUEEEEEAAALLLLL!!
The Time Traveler's Pig,Mabel,NO!!!(Chases Dipper)Gimme that thing! Dipper give it back!
The Time Traveler's Pig,Dipper,"(climbs to top of portable toilet)Look, Mabel, it's over! Okay? Give it up! I've worked too hard to lose this!"
The Time Traveler's Pig,Mabel,But what about Waddles? He was my soulmate!
The Time Traveler's Pig,Dipper,You said that about a ball of yarn once! Do you really want Wendy to date Robbie?
The Time Traveler's Pig,Mabel,I don't know...(starts to hit her head against the totem pole)
The Time Traveler's Pig,Dipper,"You're not guilt-tripping me, Mabel. Not this time."
The Time Traveler's Pig,Mabel,(doesn't stop hitting her head against the pole)
The Time Traveler's Pig,Dipper,"Come on, Mabel, I know you. You're gonna forget about this in a day!(takes time machine out of pocket)Here! Hey! I'll prove it!(goes forward a day)See?(Mabel is still hitting her head on the pole)Okay, maybe you'll forget in a week...(goes forward a week, no improvement. Dipper starts to sweat)A month! She'll better in a month!(forward a month)"
The Time Traveler's Pig,Mabel,(Vines are growing on her legs and a snail is sitting on her shoulder)Waddles...(smack)Waddles...(smack)
The Time Traveler's Pig,Soos,"(leading a tour group)...And when you look at your left, you'll see Miserable Mabel: a girl who went bonkers after her dreams were shattered by some heartless jerk. Oh, hey, Dipper!"
The Time Traveler's Pig,Dipper,(watches Mabel)Uh... grrrr!(goes back. He is walking up to the ball game with Wendy)
The Time Traveler's Pig,Wendy,"I don't know if it's a duck or a panda, but I want one!"
The Time Traveler's Pig,Dipper,"(Sigh)Wendy, I just wanted to say that, well I just wanted say that people makes mistakes, and when they do, you should forgive them. And also that tight pants are overrated."
The Time Traveler's Pig,Wendy,"Dude, you lost me."
The Time Traveler's Pig,Dipper,"I know...(to carnie:)One ball, please."
The Time Traveler's Pig,Ball game Carnie,You only get one chance.
The Time Traveler's Pig,Dipper,"And a-one and a-two and a-huh!(throws ball, hits Wendy)"
The Time Traveler's Pig,Wendy,AUUGH! MY EYE!!
The Time Traveler's Pig,Robbie,"Hey Wendy, are you okay? You know this is the perfect time for me to ah... ask you something..."
The Time Traveler's Pig,Dipper,It is done.
The Time Traveler's Pig,Mabel,(Attacks him in a hug and lifts him up)DIPPER!!!! THANKYOUTHANKYOUTHANKYOUTHANKYOU!! Hmmm!
The Time Traveler's Pig,Waddles,"(Oinks the sound similar to ""thank you"")"
The Time Traveler's Pig,Mabel,"He's saying thank you in Pig! Aren't you, Waddles?"
The Time Traveler's Pig,Waddles,"(Oinks ""thank you"" two times and turns body around and kicks his legs)"
The Time Traveler's Pig,Pacifica,(Being pecked by a chicken)Ow-Ow! Ow! Ow! Ow!...
The Time Traveler's Pig,Dipper,"I couldn't break your heart, Mabel. Besides, there's no way Wendy can date Robbie all summer, right?"
The Time Traveler's Pig,Blendin,(takes time machine)YOU TWO!!!!
The Time Traveler's Pig,Dipper and Mabel,AAAGH!
The Time Traveler's Pig,Waddles,WEEE!
The Time Traveler's Pig,Blendin,"Do you have any idea, how many rules you just broke?! I'm asking; I wasn't there with you... it was probably a lot, right?"
The Time Traveler's Pig,Dundgren,(he and Lolphappear next to Blendin)Blendin Blandin...
The Time Traveler's Pig,Blendin,AAAAGH! TheTime Paradox Avoidment Enforcement Squadron!!
The Time Traveler's Pig,Lolph,"That's right, and our phones have been ringing off the hook! There's settlers high-fiving in the 1800's and calculators littered through eight centuries!"
The Time Traveler's Pig,Dundgren,You are under arrest for violations of the Time Traveler's Code of Conduct.(handcuffs him and leads him away)
The Time Traveler's Pig,Blendin,"It was those kids! And their leader, Waddles!"
The Time Traveler's Pig,Lolph,"That's a pig, Blendin."
The Time Traveler's Pig,Blendin,(to Dipper and Mabel:)I'll get you for this! I'll go back in time and make sure yourparentsnever MEET!!
The Time Traveler's Pig,Dipper,"Well, we're still here."
The Time Traveler's Pig,Mabel,Guess he forgot to go back.
The Time Traveler's Pig,Stan,"Ha, you suckers! Your pockets are empty and I'm still sittin' high and dry!"
The Time Traveler's Pig,Crowd,BOOOO!!!!
The Time Traveler's Pig,Stan,"Boo! Ha, boo! I love it! Hey, biceps! I'm talking to you, haircut! Take your best shot!"
The Time Traveler's Pig,Lolph,(shoots Stan down and leaves)
The Time Traveler's Pig,Crowd,YYAAAAYY!
The Time Traveler's Pig,Mabel,So I guess we never found out who was causing those time anomalies Blendin was looking for.
The Time Traveler's Pig,Dipper,"Wait, Mabel; I think it was us."
The Time Traveler's Pig,Mabel,"Ugh, my brain hurts."
The Time Traveler's Pig,Dipper,"Oh, geez, I gotta deal with this all summer?"
The Time Traveler's Pig,Robbie,(feeding Wendy caramel apple)It's good; it's caramel.
The Time Traveler's Pig,Mabel,I'm on it.(points Waddles at the apple)
The Time Traveler's Pig,Waddles,"HUH!(runs at Robbie, making him drop the apple. Waddles eats it.)"
The Time Traveler's Pig,Robbie,(backs into a table and spills a buck of hot water on himself)My pants! They're shrinking!
The Time Traveler's Pig,Narration,Everyone laughs.
The Time Traveler's Pig,Wendy,(Laughs)Oh man.
The Time Traveler's Pig,Dipper,"That'll do pig, That'll do."
The Time Traveler's Pig,Narration,Cut to end credits.
The Time Traveler's Pig,Time Baby,(suspending Blendin in a void)You have broken the eternal laws of space time!
The Time Traveler's Pig,Blendin,"I beg your mercy, Time Baby!"
The Time Traveler's Pig,Time Baby,You now must clean up all the anomalies!
The Time Traveler's Pig,Blendin,"(Picks up the calculator)Ta tum, ta tee ta tum!(goes to the time of the flower that was dropped. To gnome:)What are you looking at?(Disappears)"
Fight Fighters,Narration,The episode opens withSoosshowingMabelandStanaround anarcade. A person to the right is playing an arcade game with a greenBill Cipher.
Fight Fighters,Soos Ramirez,"This is it, dudes, my favorite place inGravity Falls. Everything I know, I learned right here. A frog taught me how to cross a street. When my house was haunted, I learned how to eat ghosts. And this thing taught me how to dance."
Fight Fighters,Old Man McGucket,(Dancing on an out of order dancing machine)Woo-hoo-hoo! I've been jiggin' here for seven days straight!
Fight Fighters,Mabel Pines,"(Picks up the plug to the dance machine)Uh, Soos?"
Fight Fighters,Soos,Let him have this.
Fight Fighters,Stan Pines,"(Walks to a new video game called ""Insert Token!"")Huh?(Inserts a coin)"
Fight Fighters,Game voice,Congratulations! you win!
Fight Fighters,Narration,"Screen resumes saying: ""Insert token!"" Stan gets upset and growls. Cut toDipperandWendyplayingFight Fighters, withRumble McSkirmishand Dr. Karate as their player characters."
Fight Fighters,Dipper Pines and Wendy Corduroy,"Oh, oh, oh!"
Fight Fighters,Dipper,"Watch out! Wow! Ooh, cutscene!"
Fight Fighters,Rumble,"DR. KARATE, YOU KILLED MY FATHER AGAIN!"
Fight Fighters,Dr. Karate,HHNNGHHHH!!!!!!!
Fight Fighters,Rumble,YOU TAKE THAT BAAACKKKK!!!!!!!!
Fight Fighters,Game announcer,Fight!
Fight Fighters,Narration,"Rumble and Dr. Karate, being controlled by Dipper and Wendy, fight each other."
Fight Fighters,Dipper,Yeah! Yeah! Yeah! Go! Go!
Fight Fighters,Game announcer,K.O! The winner: Rumble Mcskirmish!
Fight Fighters,Rumble,WINNERS DON'T LOSE!
Fight Fighters,Wendy,What? You cheated.
Fight Fighters,Dipper,(Imitating Rumble:)YOU TAKE THAT BAAACK!(Laughs)
Fight Fighters,Game announcer,Round Two!
Fight Fighters,Wendy,I'm gonna punch the ref.
Fight Fighters,Game announcer,Fight!
Fight Fighters,Dipper,Let's gang up on him.
Fight Fighters,Narration,Rumble and Dr. Karate do all of the combo moves so that they aren't hitting each other but it looks as though they are hitting the referee.
Fight Fighters,Wendy,Hohoho.
Fight Fighters,Narration,"Robbieis nearby, putting up a flyer."
Fight Fighters,Dipper and Wendy,(Laugh)
Fight Fighters,Robbie Valentino,"Wendy! What's up, babe? Yeah, just putting up some flyers formy band. I'm lead guitar. No biggie."
Fight Fighters,Dipper,(Looks skeptically at the picture of Robbie on the poster)Are you wearing mascara?
Fight Fighters,Robbie,"Uh, it's eye-paint for men."
Fight Fighters,Wendy,"Oh, hey Robbie, Dipper was just showing me this great game."
Fight Fighters,Robbie,"Ha, yeah, sweet, sweet. (To Dipper:)Hey, how's about you sit this one out, okay champ?"
Fight Fighters,Dipper,But we just started this round.
Fight Fighters,Robbie,"(Defensively:)Whoa, whoa, hey! Relax man, I'm just trying to spend a little time with mygirlfriend, alright?"
Fight Fighters,Wendy,(To Dipper:)It'll just be one round.
Fight Fighters,Game announcer,Round Three! Fight!
Fight Fighters,Narration,Wendy and Robbie start playing the game and talking.
Fight Fighters,Wendy,"So hey, I'm going camping tomorrow with mydad, so I won't be around."
Fight Fighters,Robbie,"Oh, cool, cool, watch out! (Puts his arm over Wendy's shoulder and subtly glares at Dipper)"
Fight Fighters,Game announcer,Opponent sighted! Fight!
Fight Fighters,Narration,"Cut totheme song. Cut toMystery Shack, where Stan, Dipper, Mabel and Soos are playing poker."
Fight Fighters,Mabel,King me!(Reveals her hand which has two Kings)
Fight Fighters,"Stan, Soos, Dipper",Aww! Come on!
Fight Fighters,Stan,"It's not fair, she doesn't even know what we're playing!"
Fight Fighters,Mabel,Go Fish?
Fight Fighters,Narration,Electric guitar starts playing outside the shack.
Fight Fighters,Soos,"Dude, I think I'm picking up a radio station inside my head."
Fight Fighters,Mabel,Try blinking to see if you can change the channel.
Fight Fighters,Soos,(Blinks)
Fight Fighters,Robbie,(Offscreen; singing:)Weeendy!
Fight Fighters,Dipper,"Ugh, sounds like Robbie."
Fight Fighters,Stan,Robbie? Is he that jerky twerp I see making goo-goo eyes at Wendy all the time?
Fight Fighters,Soos,"He called me ""Big Dude"" once. I mean, I know I'm a big dude, but it kinda hurt."
Fight Fighters,Mabel,Should I sicWaddleson him again?
Fight Fighters,Waddles,(Chews Mabel's sweater)
Fight Fighters,Mabel,"Whoa, easy tiger."
Fight Fighters,Dipper,(Gets up)I'll handle it.(Leaves)
Fight Fighters,"Stan, Mabel and Soos",Ooooooh!
Fight Fighters,Stan,"Ha ha, conflict!"
Fight Fighters,Robbie,"(Singing:)Wendy! Wendy, Wendy!(Shouting:)Wendy! C'mon out, girl! C'mon down!"
Fight Fighters,Dipper,"You realize she's not here, right?"
Fight Fighters,Robbie,(Scoffs)Yes! ...What?
Fight Fighters,Dipper,"She's out camping with her family today.(Quietly:)Maybe if you listened to her for once, you'd know that."
Fight Fighters,Robbie,What was that?!
Fight Fighters,Dipper,I- just said she's not here.
Fight Fighters,Robbie,"No, no, no! You want to get into it, huh? Lets get into it, kid! You think I don't know what's been going on, huh? It's obvious you've got a thing for my girlfriend, don't you? Don't you?!"
Fight Fighters,Dipper,"What? No! C'mon, man!"
Fight Fighters,Robbie,"(Sarcastically:)Yeah, I'm sure she's just DYING to ask out a 12-year old kid who wears the exact same shorts every day. Hey, here's an idea:(Pulls out his cell phone and calls Wendy)why don't I call her right now and see if she wants to go out on a date with you?"
Fight Fighters,Dipper,Hey! Look-! Don't! Y-you don't have to-!
Fight Fighters,Robbie,"(Mimicking Dipper:)Oh! Don't! Please, man!(Holds up phone; normal voice:)What're you gonna do, huh, huh? What, what?"
Fight Fighters,Wendy,(On phone:)Hello?
Fight Fighters,Dipper,"(Smacks Robbie's cell phone out of his hand, making it hit the ground and break)"
Fight Fighters,Robbie,My phone!
Fight Fighters,Dipper,I-I'll buy you a new one!
Fight Fighters,Robbie,"Oh no, you're not getting off that easy!(Lifts Dipper up by the collar and prepares to hit him)"
Fight Fighters,Stan,(Poking head out of window)Hey! I know a fight when I see one! Stay right there!(Closes window)
Fight Fighters,Robbie,(Throws Dipper to the ground)
Fight Fighters,Robbie,You. Me.Circle Park. 3 o'clock.(Walking away)We finish this.
Fight Fighters,Stan,"(Arrives with a bucket of popcorn)Aw, he's gone! I was just gonna call the boys over to place a few bets!(Chews popcorn)The smart money's on Skinny Jeans."
Fight Fighters,Narration,"Cut to living room with Soos, Stan, Mabel, Waddles and Dipper, who is pacing back and forth."
Fight Fighters,Dipper,What was I thinking?! I can't fight! I've never been in a fight before! Look at these noodle arms!(Waves arms)
Fight Fighters,Stan,Just bonk him over the head! It's nature's snooze button!
Fight Fighters,Mabel,Boys! Why can't you learn to hate each other in secret? Like girls do!
Fight Fighters,Stan,"(Snickers)Sure, listen to your sister! Maybe you can share dresses too!(Laughs)BOOM!"
Fight Fighters,Dipper,Maybe he'll just forget about it. Maybe it'll all blow over.
Fight Fighters,Soos,"I don't know, Dipper. Teenagers are dangerous. Those hormones turn them into like, killing machines!"
Fight Fighters,Dipper,R-Really?
Fight Fighters,Soos,"Oh yeah, dude. My cousinReggiegot in a fight with a teen once. The guy broke like, all his arms, all his legs, and I think, killed him or something, I don't know. Me and Reggie were just talking about it."
Fight Fighters,Dipper,(Backing up into corner)I can't stay here! What if Robbie comes back!? I gotta hide!!
Fight Fighters,Stan,"Look, kid. You got yourself a choice here. You can either go face him like a man, or you can hide indoors like a wimp. What'll it be?"
Fight Fighters,Narration,Dipper silently ponders what Stan said. Cut to arcade. Soos is playing an arcade game and Dipper is hiding under it.
Fight Fighters,Soos,Wimp it is.
Fight Fighters,Dipper,"C'mon Soos, Robbie's twice my size. I mean, what will getting myself killed accomplish? I just need to hide here until 3 o'clock passes.(Looks at watch; it turns into 11:30)Uggggh, this day will never end!"
Fight Fighters,Soos,"Relax, Dipper. Just try not to think about Robbie."
Fight Fighters,Dipper,"Ah!(Looks up at dozens of posters for Robbie's band, all with their slogan: ""You're dead!"")"
Fight Fighters,Narration,"Cut to Mystery Shack, where, on TV,Sassicaberates a teenage girl."
Fight Fighters,Sassica,"Giiirl, why you 'ackin so cray-cray?"
Fight Fighters,Crowd,(Cheers)
Fight Fighters,TV Announcer,Why You Ackin' So Cray-Cray?will be back in a moment.
Fight Fighters,Mabel,"Ugh, poor Dipper. Hiding from Robbie, unable to face his fears."
Fight Fighters,Waddles,(Oinks)
Fight Fighters,Stan,"(Walking into kitchen)Fears are for chumps. That's why I don't have any.(Tries to reach an item on a shelf)Ugh, ugh!"
Fight Fighters,Mabel,You want me to go get a ladder?
Fight Fighters,Stan,We don't have one.
Fight Fighters,Mabel,What?
Fight Fighters,Stan,"You know, studies show that keeping a ladder in the house is more dangerous than a loaded gun. That's why I own ten guns, in case some maniac tries to sneak in with a ladder."
Fight Fighters,Mabel,"(Suspiciously:)Grunkle Stan, why you ackin' so cray-cray?"
Fight Fighters,Stan,"YOU'RE the one who's ""ackin' cray-cray!""(Leaving)I gotta go now."
Fight Fighters,Mabel,Why would Grunkle Stan be so weirded out by ladders? Of course! I think he has a secret fear of heights! We'll have to test him to be sure! Or we could leave well enough alone... Nah!
Fight Fighters,Narration,"Cut to arcade, where Soos is playingNORT. His avatar falls over."
Fight Fighters,Soos,"Man, I wonder what it would be like to go inside a video game for real!(Drills his way into the arcade game itself)I should have thought of this years ago!(Tries to squeeze in)"
Fight Fighters,Dipper,"(Playing ""Fight Fighters"")Stupid Robbie. Such a jerk!"
Fight Fighters,Game announcer,Round One! Fight!
Fight Fighters,Narration,Dipper loses the first round.
Fight Fighters,Game announcer,K.O! Continue?
Fight Fighters,Rumble,A WINNER NEVER RUNS AWAY FROM A FIGHT!!
Fight Fighters,Dipper,"(Sighs)That's easy for you to say, you have more than one life. Ugh, I wish one of these guys would fight Robbie for me.(Starts to insert another coin, but drops it and it rolls onto the floor. He bends down to pick it up and notices something written on the machine, and brushes off the dust, revealing the text; Reading message:)""To unleash ultimate power?"" I do like things that are ultimate.(Enters code)Back, back, hold, forward, back, forward, down, hold, quarter circle, forward, triple punch!(Machine shuts down)I guess it didn't work.(Screen flares back to life)Uhhh Soos?"
Fight Fighters,Game announcer,SELECT YOUR CHARACTER!!
Fight Fighters,Dipper,Uhhh... Rumble McSkirmish?
Fight Fighters,Rumble,(Materializes outside of the game)KickkickkickkickKICK!
Fight Fighters,Dipper,You're real?
Fight Fighters,Dipper and Rumble,HIGH FIVE!(High five)
Fight Fighters,Dipper,Ow! Your pixels are really sharp! Ugh!
Fight Fighters,Rumble,"GREETINGS, CHILD-BOY! I AM RUMBLE MCSKIRMISH, FROM THE U.S.A! PUNCH! KICK! PUNCH! KICK!!(Kicks Dipper)"
Fight Fighters,Dipper,Ow! Cooool!
Fight Fighters,Rumble,(Spots a change machine)CHANGE MACHINE! CHANGE ME INTO A POWERFUL WOLF!! HWAAAAH!!!(Smashes change machine)
Fight Fighters,Dipper,"(To himself:)With Rumble around, Robbie will be so scared, I won't even need to fight him. I've got the world's greatest fighter to be my bodyguard!"
Fight Fighters,Rumble,(Flashes red)I need power ups!
Fight Fighters,Dipper,This is so amazing! I gotta show Soos!(Looks around)Soos?
Fight Fighters,Narration,Amanwalks up to NORT machine and screams upon seeing Soos literally inside the game.
Fight Fighters,Soos,"Help, I'm trapped in the game! It was cool in theory but in practice it was really boring."
Fight Fighters,Man,(Screams and runs away)
Fight Fighters,Soos,It's not just a game anymore!
Fight Fighters,Narration,Cut back to Mystery Shack.
Fight Fighters,Mabel,"Alright, Waddles. It's time to begin. Operation Get Stan Over His Fear of Heights! I came up with that name.(Walks over to where Stan is sleeping on the couch; to Stan:)HAPPY GREAT UNCLE'S DAY!"
Fight Fighters,Stan,(Stan wakes up and is handed a present by Mabel)Huh? Is it Great Uncle's Day?
Fight Fighters,Mabel,"Ha ha, yeah of course it's not a day I made up."
Fight Fighters,Stan,"(Opens the box and pulls out high heels)High heels? You shouldn't have. Seriously, wha- what? What is this?"
Fight Fighters,Mabel,What's wrong? Are you saying these heels are TOO high? Do they make you uncomfortable? Hmm?
Fight Fighters,Stan,Maybe.
Fight Fighters,Mabel,Admit it! Admit you have a fear of heights!
Fight Fighters,Stan,"(Adjusting television's antennae)What? That's why you bought me these? You should be ashamed of yourself! And on Great Uncle's Day no less. But no, I don't have a ""fear of heights."""
Fight Fighters,TV announcer,"We now return to ""World's Most Terrifying Skydiving!"""
Fight Fighters,Stan,Ah! Ah! Turn it off!(Trips over the dinosaur skull)So I have a fear of heights. Is that really so cray-cray?
Fight Fighters,Narration,Cut to the kitchen.
Fight Fighters,Rumble,(Attacks fly; laughs)
Fight Fighters,Dipper,"(Checking the refrigerator)Well, we don't have any traditional power ups: turkey legs, pizza boxes, or gold rings. How about... half a taco?"
Fight Fighters,Rumble,"Place it, on the floor."
Fight Fighters,Narration,"Dipper puts the taco on the floor, Rumble looks at it, it disappears and then reappears in his power-ups menu."
Fight Fighters,Dipper,I wish I could do that!
Fight Fighters,Rumble,Now I must defeat the world's greatest fight-fighters. Take me to the Soviet Union!
Fight Fighters,Dipper,That's gonna be tough... for a number of reasons. But I do know a fighter here in Gravity Falls.
Fight Fighters,Rumble,Maximum Power?
Fight Fighters,Dipper,(Gives Rumble one of Robbie's band posters)His name is Robbie V. and he's kinda like my arch enemy.
Fight Fighters,Rumble,Did he killyour father?
Fight Fighters,Dipper,Well he's dating the girl I like and he posts a really annoying amount of status updates.
Fight Fighters,Rumble,(Crumples the poster)And then he killed your father!
Fight Fighters,Dipper,"Uh, sure. Anyway, I was hoping you could, y'know, scare him off for me so I don't have to fight the guy."
Fight Fighters,Rumble,"Hahaha! Your question makes my shoulders bounce! Fire ball!(Shoots aHadoukenat the window, does the actions as he says them:)Uppercut! Downer-cut! Bowl of PUNCH!(Drinks from punch bowl and then smashes it)"
Fight Fighters,Dipper,So you'll protect me from Robbie?
Fight Fighters,Rumble,Challenge accepted! Press start!(A start button appears)
Fight Fighters,Dipper,"(Presses it)Uh oh, I think I hear my uncle. Stay perfectly still!"
Fight Fighters,Narration,"Pans out, showing Dipper standing next to Rumble, who is rocking back and forth in a fighting stance."
Fight Fighters,Dipper,I said stay still.
Fight Fighters,Rumble,(Still rocking back and forth)This is as still as I can stay!
Fight Fighters,Narration,Cut to attic.
Fight Fighters,Mabel,How am I gonna get Grunkle Stan over his fear of heights?
Fight Fighters,Dipper,(Walks in with Rumble)Hey Mabel. Have you met Rumble yet? He's my new bodyguard.
Fight Fighters,Rumble,The child gave me a taco!
Fight Fighters,Mabel,"Wow! He's got a crazy voice! Here, say these words.(Writes words on a piece of paper and hands them to Rumble)"
Fight Fighters,Rumble,(Reading:)Effer...vescent! Apple..fritter! RIBOFLAVIN!!
Fight Fighters,Dipper,"Mabel, he's not a toy, he's a fighting machine. I'm gonna get him to defend me from Robbie."
Fight Fighters,Mabel,Isn't that kinda like cheating?
Fight Fighters,Dipper,"I guess so. Well, I'll see you after the fight."
Fight Fighters,Rumble,(Reading:)POOP! POOP AND BUTTS!
Fight Fighters,Narration,Cut to Dipper and Rumble out onMain Street.
Fight Fighters,Rumble,Tell me my opponent's special moves.
Fight Fighters,Dipper,"Don't worry. As soon as he sees you, he's gonna wet his pants."
Fight Fighters,Rumble,His wet pants will be no match FOR THIS!(Picks up a metal pipe and whips it around)
Fight Fighters,Dipper,Whoa! Where'd that came from?
Fight Fighters,Rumble,I punched an oil drum!
Fight Fighters,Dipper,"Trust me, you won't need that. Just give him a good scare."
Fight Fighters,Rumble,Yes...(Picks up a sword)WITH THIS!!!(Swings sword around)
Fight Fighters,Dipper,This street has really dangerous litter.
Fight Fighters,Narration,Cut back to the Mystery Shack. Stan is drinkingPitt Colain the living room.
Fight Fighters,Mabel,(Creeps up behind his chair)HEY GRUNKLE STAN!!
Fight Fighters,Stan,(Spits his drink out in surprise)
Fight Fighters,Mabel,How would you like to go take a walk nowhere in particular while wearing a blindfold?
Fight Fighters,Stan,"Eh, beats just sittin' around being old.(Gets up, pauses and then starts to sit back down)Wait a minute... you're not planning on taking me somewhere super high up, are you?"
Fight Fighters,Mabel,Grunkle Stan! I wouldnever!(Puts on scout's honor sweater)Scout's honor!
Fight Fighters,Stan,"Alright, let's go."
Fight Fighters,Narration,"Stan walks away, and Mabel turns around to reveal the back of the sweater has crossed fingers on it. She chuckles mischievously and pulls her tucked hair out of the sweater so that it's covering the crossed fingers. Cut to Circle Park. Robbie is waiting. Three bells ring. Robbie approaches Dipper."
Fight Fighters,Robbie,"Well, well, well! Look who decided to show up! I thought you'd chicken out. You ready to settle this like men?"
Fight Fighters,Dipper,"Look dude, I don't think you want to fight me. Let's just call this thing off before someone gets hurt."
Fight Fighters,Robbie,"Youscared, huh? Is that it?"
Fight Fighters,Dipper,"Okay, dude! You asked for it!(Snaps his fingers)"
Fight Fighters,Rumble,(Comes out from the dark and assumes fighting pose)
Fight Fighters,Robbie,Who's your friend? And why is he...blurry?
Fight Fighters,Dipper,This happens to be the greatest warrior that ever lived!
Fight Fighters,Robbie,"Yeah, right! Hey Eye Patch, what did the kid promise you? More tape for your forearms?(Laughs)"
Fight Fighters,Rumble,"HOW CAN YOU LAUGH, WHEN YOU KILLED THIS BOY'S FATHER?!?!!"
Fight Fighters,Robbie,"(Confused)Wait, what?"
Fight Fighters,Dipper,"I'm giving you one last chance. Back down, or this guy's gonna go nuts."
Fight Fighters,Robbie,"How 'bout YOU back down, kid?"
Fight Fighters,Dipper,You asked for it. Rumble... Go!
Fight Fighters,Robbie,"(Laughs; ducks Rumble's punch)What the-?(Tries to run away, but Rumble picks him up)Whoa, woah, woah, what is- what's happening?"
Fight Fighters,Dipper,"I didn't wanna have to do this, man, but you gave me no choice. Maybe now, you won't mess with-"
Fight Fighters,Rumble,HAHA! (Slams Robbie to the ground)
Fight Fighters,Dipper,"Whoa! Rumble, you can stop! I think Robbie's had enough-"
Fight Fighters,Rumble,RUMBLE...(Throws Robbie high in the air)THROW!
Fight Fighters,Dipper,STOP! I SAID STOP!
Fight Fighters,Robbie,(Lands on metal bars)AAH! What the-? THAT GUY'S CRAZY!
Fight Fighters,Rumble,"FIREBALL!(Throws a fireball, which hits the bars and Robbie runs off)"
Fight Fighters,Dipper,What the heck was that?! You were only supposed toscarehim; you almostkilledhim!
Fight Fighters,Rumble,I WILL NOT REST UNTIL THE MAN WHO DISHONORED YOU IS DESTROYED!!!(Punches Robbie's band poster and runs after him)AAAAAAAAAAAAARRRRGGGG!(Jumps up and punches an electric pole)PUNCH!!
Fight Fighters,Dipper,"This isn't good.(Arrives atBarrels & Crates, Incorporated)Something told me this would be his first stop."
Fight Fighters,Narration,Robbie runs out of the building and starts down the fire escape. Rumble breaks through the wall with a barrel.
